feature,importance
InternetService_AvgTenure,3088.407958984375
Contract_AvgCharge,1454.832373046875
Contract,1384.5985107421875
OnlineSecurity,237.39102783203126
InternetService,109.3437484741211
TechSupport,103.63973693847656
tenure,61.018750762939455
StreamingTV,58.621497344970706
StreamingMovies,53.783654022216794
PaymentMethod,53.253720092773435
PaperlessBilling,40.519509887695314
SeniorCitizen,35.44854583740234
PhoneService,30.29817314147949
MultipleLines,29.696682357788085
Dependents,23.499404525756837
TotalCharges_x_tenure,18.769144439697264
MonthlyCharges_x_tenure,16.255808639526368
MonthlyCharges,14.866057968139648
TotalCharges,12.882352447509765
OnlineBackup,12.841382217407226
ServiceCount,11.124201774597168
DeviceProtection,9.3103666305542
Partner,7.033485031127929
gender,6.743088722229004
